,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Weekdays,Time_Of_The_Day
0,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20:00,01:10:00,170,0.0,No info,3897,24,3,2019,Sunday,Night
1,Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50:00,13:15:00,445,2.0,No info,7662,1,5,2019,Wednesday,Night
2,Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → MUM → COK,09:25:00,04:25:00,1140,2.0,No info,13882,9,6,2019,Sunday,Morning
3,IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05:00,23:30:00,325,1.0,No info,6218,12,5,2019,Sunday,Evening
4,IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,16:50:00,21:35:00,285,1.0,No info,13302,1,3,2019,Friday,Afternoon
5,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00:00,11:25:00,145,0.0,No info,3873,24,6,2019,Monday,Morning
6,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → MUM → DEL,18:55:00,10:25:00,930,1.0,In-flight meal not included,11087,12,3,2019,Tuesday,Evening
7,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → MUM → DEL,08:00:00,05:05:00,1265,1.0,No info,22270,1,3,2019,Friday,Morning
8,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → MUM → DEL,08:55:00,10:25:00,1530,1.0,In-flight meal not included,11087,12,3,2019,Tuesday,Morning
9,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → MUM → COK,11:25:00,19:15:00,470,1.0,No info,8625,27,5,2019,Monday,Morning
10,Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,09:45:00,23:00:00,795,1.0,No info,8907,1,6,2019,Saturday,Morning
11,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20:00,22:55:00,155,0.0,No info,4174,18,4,2019,Thursday,Evening
12,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40:00,13:55:00,135,0.0,No info,4667,24,6,2019,Monday,Morning
13,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → MUM → BLR,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663,9,5,2019,Thursday,Night
14,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15:00,19:50:00,155,0.0,No info,4804,24,4,2019,Wednesday,Afternoon
15,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → MUM → COK,16:40:00,19:15:00,1595,2.0,No info,14011,3,3,2019,Sunday,Afternoon
16,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45:00,13:15:00,270,1.0,No info,5830,15,4,2019,Monday,Morning
17,Jet Airways,2019-06-12,Delhi,Cochin,DEL → MUM → COK,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262,12,6,2019,Wednesday,Afternoon
18,Air India,2019-06-12,Delhi,Cochin,DEL → CCU → MUM → COK,20:15:00,19:15:00,1380,2.0,No info,13381,12,6,2019,Wednesday,Evening
19,Jet Airways,2019-05-27,Delhi,Cochin,DEL → MUM → COK,16:00:00,12:35:00,1235,1.0,In-flight meal not included,12898,27,5,2019,Monday,Afternoon
20,GoAir,2019-03-06,Delhi,Cochin,DEL → MUM → COK,14:10:00,19:20:00,310,1.0,No info,19495,6,3,2019,Wednesday,Afternoon
21,Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00:00,13:20:00,920,1.0,No info,6955,21,3,2019,Thursday,Night
22,IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,04:00:00,06:50:00,170,0.0,No info,3943,3,4,2019,Wednesday,Night
23,IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,18:55:00,21:50:00,175,0.0,No info,4823,1,5,2019,Wednesday,Evening
24,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → MUM → BLR,18:55:00,08:15:00,800,1.0,In-flight meal not included,7757,6,5,2019,Monday,Evening
25,Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → MUM → COK,21:25:00,12:35:00,910,2.0,No info,13292,9,6,2019,Sunday,Night
26,IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,21:50:00,03:35:00,345,1.0,No info,8238,1,6,2019,Saturday,Night
27,GoAir,2019-05-15,Delhi,Cochin,DEL → MUM → COK,07:00:00,12:55:00,355,1.0,No info,7682,15,5,2019,Wednesday,Morning
28,Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45:00,12:35:00,170,0.0,No info,4668,18,6,2019,Tuesday,Morning
29,Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05:00,09:20:00,135,0.0,No info,3687,15,6,2019,Saturday,Morning
30,Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05:00,09:20:00,135,0.0,No info,3687,18,6,2019,Tuesday,Morning
